ACTION START 1200 0 START
ACTION QUERY 1200 10 asynchronous learning
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 18 SNIPPET_NOT_RELEVANT 154683130
ACTION SNIPPET 1200 21 SNIPPET_NOT_RELEVANT 148307693
ACTION SNIPPET 1200 24 SNIPPET_NOT_RELEVANT 136444795
ACTION SNIPPET 1200 27 SNIPPET_NOT_RELEVANT 150468514
ACTION SNIPPET 1200 30 SNIPPET_NOT_RELEVANT 47909009
ACTION SNIPPET 1200 33 SNIPPET_NOT_RELEVANT 137213226
ACTION SNIPPET 1200 36 SNIPPET_NOT_RELEVANT 148410763
ACTION SNIPPET 1200 39 SNIPPET_NOT_RELEVANT 85691915
ACTION SNIPPET 1200 42 SNIPPET_NOT_RELEVANT 84233046
ACTION SNIPPET 1200 45 SNIPPET_NOT_RELEVANT 75003577
ACTION SNIPPET 1200 48 SNIPPET_NOT_RELEVANT 153545497
ACTION SNIPPET 1200 51 SNIPPET_NOT_RELEVANT 15298602
ACTION SNIPPET 1200 54 SNIPPET_NOT_RELEVANT 130945881
ACTION SNIPPET 1200 57 SNIPPET_NOT_RELEVANT 5844703
ACTION SNIPPET 1200 60 SNIPPET_NOT_RELEVANT 5583631
ACTION SNIPPET 1200 63 SNIPPET_NOT_RELEVANT 109234794
ACTION SNIPPET 1200 66 SNIPPET_NOT_RELEVANT 21956926
ACTION SNIPPET 1200 69 SNIPPET_NOT_RELEVANT 130505162
ACTION SNIPPET 1200 72 SNIPPET_NOT_RELEVANT 58982335
ACTION SNIPPET 1200 75 SNIPPET_NOT_RELEVANT 133583136
ACTION SNIPPET 1200 78 SNIPPET_NOT_RELEVANT 9939816
ACTION SNIPPET 1200 81 SNIPPET_NOT_RELEVANT 154628437
ACTION SNIPPET 1200 84 SNIPPET_NOT_RELEVANT 23184931
ACTION SNIPPET 1200 87 SNIPPET_NOT_RELEVANT 8516383
ACTION SNIPPET 1200 90 SNIPPET_NOT_RELEVANT 84852330
ACTION SNIPPET 1200 93 SNIPPET_NOT_RELEVANT 18970275
ACTION SNIPPET 1200 96 SNIPPET_NOT_RELEVANT 40094806
ACTION SNIPPET 1200 99 SNIPPET_NOT_RELEVANT 8033413
ACTION SNIPPET 1200 102 SNIPPET_NOT_RELEVANT 132106099
ACTION SNIPPET 1200 105 SNIPPET_NOT_RELEVANT 77742253
ACTION SNIPPET 1200 108 SNIPPET_NOT_RELEVANT 40092384
ACTION SNIPPET 1200 111 SNIPPET_NOT_RELEVANT 160591640
ACTION QUERY 1200 121 student performance AND (yearPublished>=1950 AND yearPublished<=2024)
ACTION SERP 1200 126 EXAMINE_SERP
ACTION SNIPPET 1200 129 SNIPPET_NOT_RELEVANT 2876303
ACTION SNIPPET 1200 132 SNIPPET_NOT_RELEVANT 3104863
ACTION SNIPPET 1200 135 SNIPPET_NOT_RELEVANT 70355563
ACTION SNIPPET 1200 138 SNIPPET_NOT_RELEVANT 74249947
ACTION SNIPPET 1200 141 SNIPPET_NOT_RELEVANT 154628272
ACTION SNIPPET 1200 144 SNIPPET_NOT_RELEVANT 51822292
ACTION SNIPPET 1200 147 SNIPPET_NOT_RELEVANT 122399013
ACTION SNIPPET 1200 150 SNIPPET_NOT_RELEVANT 67314633
ACTION SNIPPET 1200 153 SNIPPET_NOT_RELEVANT 146570901
ACTION SNIPPET 1200 156 SNIPPET_NOT_RELEVANT 135753407
ACTION SNIPPET 1200 159 SNIPPET_NOT_RELEVANT 70428112
ACTION SNIPPET 1200 162 SNIPPET_NOT_RELEVANT 63428278
ACTION SNIPPET 1200 165 SNIPPET_NOT_RELEVANT 84393709
ACTION SNIPPET 1200 168 SNIPPET_NOT_RELEVANT 140476708
ACTION SNIPPET 1200 171 SNIPPET_NOT_RELEVANT 136065883
ACTION SNIPPET 1200 174 SNIPPET_NOT_RELEVANT 69665434
ACTION SNIPPET 1200 177 SNIPPET_NOT_RELEVANT 156054355
ACTION SNIPPET 1200 180 SNIPPET_NOT_RELEVANT 2770166
ACTION SNIPPET 1200 183 SNIPPET_NOT_RELEVANT 164404363
ACTION SNIPPET 1200 186 SNIPPET_NOT_RELEVANT 63093969
ACTION SNIPPET 1200 189 SNIPPET_NOT_RELEVANT 142915484
ACTION SNIPPET 1200 192 SNIPPET_NOT_RELEVANT 15176279
ACTION SNIPPET 1200 195 SNIPPET_NOT_RELEVANT 85005128
ACTION SNIPPET 1200 198 SNIPPET_NOT_RELEVANT 45611533
ACTION SNIPPET 1200 201 SNIPPET_NOT_RELEVANT 78256909
ACTION SNIPPET 1200 204 SNIPPET_NOT_RELEVANT 2533936
ACTION SNIPPET 1200 207 SNIPPET_NOT_RELEVANT 55025788
ACTION SNIPPET 1200 210 SNIPPET_NOT_RELEVANT 8680139
ACTION SNIPPET 1200 213 SNIPPET_NOT_RELEVANT 99034634
ACTION SNIPPET 1200 216 SNIPPET_NOT_RELEVANT 108114517
ACTION SNIPPET 1200 219 SNIPPET_NOT_RELEVANT 142602147
